ProdTaken, Age , CityTier, DurationOfPitch, NumberOfPersonVisiting, NumberOfFollowups, PreferredPropertyStar, NumberOfTrips, Passport, PitchSatisfactionScore, OwnCar, NumberOfChildrenVisiting, MonthlyIncome, TypeofContact_ Company Invited, TypeofContact_ Self Enquiry, Occupation_ Large Business, Occupation_ Salaried, Occupation_ Small Business, Gender_ Female, Gender_ Male, ProductPitched_ Deluxe, ProductPitched_ King, ProductPitched_ Standard, ProductPitched_ Super Deluxe, MaritalStatus_ Married, MaritalStatus_ Single, MaritalStatus_ Unmarried, Designation_ Executive, Designation_ Manager, Designation_ Senior Manager, Designation_ VP, IncomePerPerson   , ChildrenRatio
        0, 44.0,        1,            13.0,                      2,               4.0,                   3.0,           4.0,        0,                      4,      1,                      0.0,       25248.0,                              0,                           1,                          0,                    0,                          1,              1,            0,                      0,                    0,                        1,                            0,                      0,                     0,                        0,                      0,                    0,                           1,               0, 25248.0           , 0.0
        0, 46.0,        3,             8.0,                      2,               3.0,                   5.0,           4.0,        0,                      2,      0,                      1.0,       33947.0,                              0,                           1,                          0,                    0,                          1,              1,            0,                      0,                    1,                        0,                            0,                      0,                     1,                        0,                      0,                    0,                           0,               1, 16973.5           , 0.25
        0, 33.0,        1,             8.0,                      3,               3.0,                   3.0,           5.0,        0,                      3,      1,                      2.0,       17496.0,                              0,                           1,                          0,                    0,                          1,              0,            1,                      0,                    0,                        0,                            0,                      0,                     1,                        0,                      1,                    0,                           0,               0,  5832.0           , 0.4
        0, 44.0,        1,            16.0,                      2,               3.0,                   3.0,           3.0,        1,                      3,      1,                      1.0,       21465.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      1,                    0,                        0,                            0,                      0,                     0,                        0,                      0,                    1,                           0,               0, 10732.5           , 0.3333333333333333
        0, 30.0,        1,            15.0,                      2,               4.0,                   3.0,           2.0,        0,                      4,      1,                      1.0,       17206.0,                              0,                           1,                          0,                    0,                          1,              0,            1,                      0,                    0,                        0,                            0,                      0,                     1,                        0,                      1,                    0,                           0,               0,  8603.0           , 0.5
        1, 39.0,        3,            11.0,                      2,               3.0,                   3.0,           4.0,        0,                      2,      0,                      1.0,       17086.0,                              0,                           1,                          1,                    0,                          0,              0,            1,                      1,                    0,                        0,                            0,                      0,                     0,                        0,                      0,                    1,                           0,               0,  8543.0           , 0.25
        1, 24.0,        1,             6.0,                      3,               3.0,                   3.0,           3.0,        1,                      3,      1,                      2.0,       17293.0,                              0,                           1,                          0,                    0,                          1,              0,            1,                      0,                    0,                        0,                            0,                      0,                     0,                        0,                      1,                    0,                           0,               0,  5764.333333333333, 0.6666666666666666
        0, 43.0,        1,             8.0,                      3,               2.0,                   3.0,           2.0,        0,                      2,      0,                      1.0,       17645.0,                              0,                           1,                          0,                    0,                          1,              1,            0,                      0,                    0,                        0,                            0,                      1,                     0,                        0,                      1,                    0,                           0,               0,  8822.5           , 0.5
        1, 50.0,        3,             9.0,                      2,               4.0,                   3.0,           2.0,        1,                      4,      0,                      0.0,       17683.0,                              0,                           1,                          0,                    0,                          1,              0,            1,                      0,                    0,                        0,                            0,                      0,                     0,                        0,                      1,                    0,                           0,               0, 17683.0           , 0.0
        0, 35.0,        3,             8.0,                      3,               3.0,                   3.0,           2.0,        0,                      2,      1,                      0.0,       17014.0,                              0,                           1,                          0,                    0,                          1,              1,            0,                      0,                    0,                        0,                            0,                      0,                     0,                        0,                      1,                    0,                           0,               0, 17014.0           , 0.0
        0, 36.0,        1,            11.0,                      2,               4.0,                   3.0,           1.0,        1,                      2,      1,                      0.0,       95000.0,                              0,                           1,                          0,                    1,                          0,              1,            0,                      0,                    0,                        0,                            0,                      0,                     0,                        0,                      1,                    0,                           0,               0, 95000.0           , 0.0
        0, 33.0,        3,             6.0,                      2,               2.0,                   5.0,           3.0,        0,                      3,      1,                      0.0,       20376.0,                              1,                           0,                          0,                    1,                          0,              1,            0,                      1,                    0,                        0,                            0,                      0,                     0,                        0,                      0,                    1,                           0,               0, 20376.0           , 0.0
        0, 35.0,        1,            10.0,                      3,               3.0,                   3.0,           2.0,        0,                      4,      0,                      0.0,       16951.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      0,                    0,                        0,                            0,                      1,                     0,                        0,                      1,                    0,                           0,               0, 16951.0           , 0.0
        0, 27.0,        1,             8.0,                      2,               3.0,                   5.0,           2.0,        0,                      3,      0,                      1.0,       17341.0,                              0,                           1,                          0,                    1,                          0,              1,            0,                      0,                    0,                        0,                            0,                      1,                     0,                        0,                      1,                    0,                           0,               0,  8670.5           , 0.5
        1, 26.0,        1,            31.0,                      2,               5.0,                   3.0,           2.0,        0,                      2,      1,                      1.0,       17293.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      0,                    0,                        0,                            0,                      0,                     1,                        0,                      1,                    0,                           0,               0,  8646.5           , 0.5
        0, 27.0,        3,            14.0,                      2,               3.0,                   3.0,           2.0,        0,                      2,      1,                      0.0,       23726.0,                              1,                           0,                          0,                    1,                          0,              0,            1,                      0,                    0,                        1,                            0,                      0,                     0,                        1,                      0,                    0,                           1,               0, 23726.0           , 0.0
        0, 36.0,        1,             6.0,                      2,               3.0,                   3.0,           2.0,        0,                      3,      1,                      0.0,       22347.0,                              1,                           0,                          0,                    0,                          1,              1,            0,                      1,                    0,                        0,                            0,                      0,                     1,                        0,                      0,                    1,                           0,               0, 22347.0           , 0.0
        1, 41.0,        1,            18.0,                      2,               3.0,                   3.0,           2.0,        0,                      4,      1,                      0.0,       34545.0,                              0,                           1,                          1,                    0,                          0,              1,            0,                      0,                    1,                        0,                            0,                      0,                     0,                        0,                      0,                    0,                           0,               1, 34545.0           , 0.0
        0, 34.0,        3,            13.0,                      3,               3.0,                   3.0,           1.0,        0,                      5,      1,                      1.0,       19568.0,                              1,                           0,                          0,                    0,                          1,              0,            1,                      1,                    0,                        0,                            0,                      0,                     1,                        0,                      0,                    1,                           0,               0,  9784.0           , 1.0
        0, 37.0,        1,            25.0,                      3,               3.0,                   4.0,           5.0,        0,                      4,      1,                      1.0,       18022.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      0,                    0,                        0,                            0,                      0,                     0,                        0,                      1,                    0,                           0,               0,  9011.0           , 0.2
        0, 46.0,        3,            11.0,                      3,               3.0,                   3.0,           5.0,        1,                      5,      1,                      1.0,       20772.0,                              1,                           0,                          0,                    0,                          1,              0,            1,                      1,                    0,                        0,                            0,                      0,                     1,                        0,                      0,                    1,                           0,               0, 10386.0           , 0.2
        0, 35.0,        1,            14.0,                      2,               2.0,                   3.0,           2.0,        0,                      5,      1,                      1.0,       17269.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      0,                    0,                        0,                            0,                      0,                     0,                        0,                      1,                    0,                           0,               0,  8634.5           , 0.5
        1, 48.0,        1,             6.0,                      3,               4.0,                   3.0,           1.0,        1,                      5,      0,                      2.0,       20381.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      0,                    0,                        1,                            0,                      0,                     1,                        0,                      0,                    0,                           1,               0,  6793.666666666667, 2.0
        1, 36.0,        1,            11.0,                      2,               3.0,                   3.0,           2.0,        1,                      2,      1,                      0.0,       18441.0,                              0,                           1,                          1,                    0,                          0,              0,            1,                      0,                    0,                        0,                            0,                      0,                     1,                        0,                      1,                    0,                           0,               0, 18441.0           , 0.0
        0, 44.0,        3,             6.0,                      3,               3.0,                   5.0,           6.0,        1,                      2,      0,                      0.0,       20454.0,                              0,                           1,                          0,                    0,                          1,              1,            0,                      1,                    0,                        0,                            0,                      1,                     0,                        0,                      0,                    1,                           0,               0, 20454.0           , 0.0
        0, 35.0,        1,            17.0,                      3,               4.0,                   5.0,           3.0,        1,                      5,      1,                      1.0,       24884.0,                              1,                           0,                          0,                    0,                          1,              0,            1,                      0,                    0,                        1,                            0,                      0,                     0,                        0,                      0,                    0,                           1,               0, 12442.0           , 0.3333333333333333
        0, 36.0,        3,            29.0,                      2,               4.0,                   3.0,           1.0,        1,                      2,      1,                      0.0,       22347.0,                              0,                           1,                          0,                    0,                          1,              1,            0,                      1,                    0,                        0,                            0,                      0,                     0,                        0,                      0,                    1,                           0,               0, 22347.0           , 0.0
        0, 33.0,        1,             6.0,                      3,               3.0,                   3.0,           2.0,        1,                      2,      1,                      0.0,       28458.0,                              1,                           0,                          0,                    1,                          0,              0,            0,                      0,                    0,                        1,                            0,                      0,                     0,                        1,                      0,                    0,                           1,               0, 28458.0           , 0.0
        0, 35.0,        3,            24.0,                      3,               3.0,                   5.0,           2.0,        0,                      4,      1,                      0.0,       24069.0,                              1,                           0,                          0,                    1,                          0,              0,            1,                      0,                    0,                        1,                            0,                      0,                     0,                        0,                      0,                    0,                           1,               0, 24069.0           , 0.0
        0, 36.0,        1,            29.0,                      1,               3.0,                   5.0,           4.0,        1,                      4,      1,                      0.0,       22347.0,                              0,                           1,                          0,                    0,                          1,              1,            0,                      0,                    0,                        0,                            0,                      0,                     0,                        0,                      1,                    0,                           0,               0, 22347.0           , 0.0
        0, 31.0,        1,            13.0,                      2,               3.0,                   3.0,           4.0,        0,                      3,      1,                      0.0,       20915.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      1,                    0,                        0,                            0,                      1,                     0,                        0,                      0,                    1,                           0,               0, 20915.0           , 0.0
        0, 37.0,        1,             6.0,                      2,               4.0,                   3.0,           2.0,        0,                      5,      1,                      1.0,       20993.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      1,                    0,                        0,                            0,                      1,                     0,                        0,                      0,                    1,                           0,               0, 10496.5           , 0.5
        0, 32.0,        1,             6.0,                      2,               3.0,                   3.0,           2.0,        1,                      4,      1,                      0.0,       21162.0,                              0,                           1,                          0,                    0,                          1,              0,            1,                      1,                    0,                        0,                            0,                      0,                     0,                        0,                      0,                    1,                           0,               0, 21162.0           , 0.0
        0, 38.0,        1,            35.0,                      2,               3.0,                   3.0,           2.0,        0,                      3,      1,                      0.0,       17406.0,                              1,                           0,                          0,                    1,                          0,              1,            0,                      1,                    0,                        0,                            0,                      0,                     1,                        0,                      0,                    1,                           0,               0, 17406.0           , 0.0
        0, 50.0,        1,            13.0,                      2,               4.0,                   3.0,           6.0,        1,                      4,      1,                      1.0,       33740.0,                              0,                           1,                          0,                    0,                          1,              1,            0,                      0,                    1,                        0,                            0,                      1,                     0,                        0,                      0,                    0,                           0,               1, 16870.0           , 0.16666666666666666
        0, 59.0,        3,            31.0,                      2,               3.0,                   5.0,           1.0,        0,                      3,      1,                      0.0,       22637.0,                              0,                           1,                          0,                    1,                          0,              1,            0,                      0,                    0,                        1,                            0,                      0,                     0,                        1,                      0,                    0,                           1,               0, 22637.0           , 0.0
        0, 36.0,        1,            14.0,                      2,               3.0,                   3.0,           2.0,        0,                      4,      1,                      1.0,       25096.0,                              0,                           1,                          1,                    0,                          0,              1,            0,                      0,                    0,                        1,                            0,                      1,                     0,                        0,                      0,                    0,                           1,               0, 12548.0           , 0.5
        0, 55.0,        1,            14.0,                      2,               3.0,                   3.0,           3.0,        1,                      3,      0,                      1.0,       29756.0,                              0,                           1,                          0,                    0,                          1,              1,            0,                      0,                    0,                        0,                            1,                      1,                     0,                        0,                      0,                    0,                           0,               0, 14878.0           , 0.3333333333333333
        0, 36.0,        1,            17.0,                      3,               4.0,                   4.0,           2.0,        0,                      4,      1,                      1.0,       21499.0,                              1,                           0,                          0,                    1,                          0,              0,            1,                      1,                    0,                        0,                            0,                      0,                     0,                        1,                      0,                    1,                           0,               0, 10749.5           , 0.5
